,Periods,Price
639,14/5/1992,887.368
640,15/5/1992,887.368
641,18/5/1992,887.368
642,19/5/1992,887.368
643,20/5/1992,887.368
644,21/5/1992,887.368
645,22/5/1992,887.368
646,25/5/1992,887.368
647,26/5/1992,887.368
648,27/5/1992,887.368
649,28/5/1992,887.368
650,29/5/1992,922.382
651,1/6/1992,922.382
652,2/6/1992,922.382
653,3/6/1992,922.382
654,4/6/1992,922.382
655,5/6/1992,922.382
656,8/6/1992,922.382
657,9/6/1992,922.382
658,10/6/1992,922.382
659,11/6/1992,922.382
660,12/6/1992,922.382
661,15/6/1992,922.382
662,16/6/1992,922.382
663,17/6/1992,922.382
664,18/6/1992,922.382
665,19/6/1992,922.382
666,22/6/1992,922.382
667,23/6/1992,922.382
668,24/6/1992,922.382
669,25/6/1992,922.382
670,26/6/1992,922.382
671,29/6/1992,922.382
672,30/6/1992,891.197
673,1/7/1992,891.197
674,2/7/1992,891.197
675,3/7/1992,891.197
676,6/7/1992,891.197
677,7/7/1992,891.197
678,8/7/1992,891.197
679,9/7/1992,891.197
680,10/7/1992,891.197
681,13/7/1992,891.197
682,14/7/1992,891.197
683,15/7/1992,891.197
684,16/7/1992,891.197
685,17/7/1992,891.197
686,20/7/1992,891.197
687,21/7/1992,891.197
688,22/7/1992,891.197
689,23/7/1992,891.197
690,24/7/1992,891.197
691,27/7/1992,891.197
692,28/7/1992,891.197
693,29/7/1992,891.197
694,30/7/1992,891.197
695,31/7/1992,893.181
696,3/8/1992,893.181
697,4/8/1992,893.181
698,5/8/1992,893.181
699,6/8/1992,893.181
700,7/8/1992,893.181
701,10/8/1992,893.181
702,11/8/1992,893.181
703,12/8/1992,893.181
704,13/8/1992,893.181
705,14/8/1992,893.181
706,17/8/1992,893.181
707,18/8/1992,893.181
708,19/8/1992,893.181
709,20/8/1992,893.181
710,21/8/1992,893.181
711,24/8/1992,893.181
712,25/8/1992,893.181
713,26/8/1992,893.181
714,27/8/1992,893.181
715,28/8/1992,893.181
716,31/8/1992,914.607
717,1/9/1992,914.607
718,2/9/1992,914.607
719,3/9/1992,914.607
720,4/9/1992,914.607
721,7/9/1992,914.607
722,8/9/1992,914.607
723,9/9/1992,914.607
724,10/9/1992,914.607
725,11/9/1992,914.607
726,14/9/1992,914.607
727,15/9/1992,914.607
728,16/9/1992,914.607
729,17/9/1992,914.607
730,18/9/1992,914.607
731,21/9/1992,914.607
732,22/9/1992,914.607
733,23/9/1992,914.607
734,24/9/1992,914.607
735,25/9/1992,914.607
736,28/9/1992,914.607
737,29/9/1992,914.607
738,30/9/1992,905.929
739,1/10/1992,905.929
740,2/10/1992,905.929
741,5/10/1992,905.929
742,6/10/1992,905.929
743,7/10/1992,905.929
744,8/10/1992,905.929
745,9/10/1992,905.929
746,12/10/1992,905.929
747,13/10/1992,905.929
748,14/10/1992,905.929
749,15/10/1992,905.929
750,16/10/1992,905.929
751,19/10/1992,905.929
752,20/10/1992,905.929
753,21/10/1992,905.929
754,22/10/1992,905.929
755,23/10/1992,905.929
756,26/10/1992,905.929
757,27/10/1992,905.929
758,28/10/1992,905.929
759,29/10/1992,905.929
760,30/10/1992,881.1
761,2/11/1992,881.1
762,3/11/1992,881.1
763,4/11/1992,881.1
764,5/11/1992,881.1
765,6/11/1992,881.1
766,9/11/1992,881.1
767,10/11/1992,881.1
768,11/11/1992,881.1
769,12/11/1992,881.1
770,13/11/1992,881.1
771,16/11/1992,881.1
772,17/11/1992,881.1
773,18/11/1992,881.1
774,19/11/1992,881.1
775,20/11/1992,881.1
776,23/11/1992,881.1
777,24/11/1992,881.1
778,25/11/1992,881.1
779,26/11/1992,881.1
780,27/11/1992,881.1
781,30/11/1992,896.586
782,1/12/1992,896.586
783,2/12/1992,896.586
784,3/12/1992,896.586
785,4/12/1992,896.586
786,7/12/1992,896.586
787,8/12/1992,896.586
788,9/12/1992,896.586
789,10/12/1992,896.586
790,11/12/1992,896.586
791,14/12/1992,896.586
792,15/12/1992,896.586
793,16/12/1992,896.586
794,17/12/1992,896.586
795,18/12/1992,896.586
796,21/12/1992,896.586
797,22/12/1992,896.586
798,23/12/1992,896.586
799,24/12/1992,896.586
800,25/12/1992,896.586
801,28/12/1992,896.586
802,29/12/1992,896.586
803,30/12/1992,896.586
804,31/12/1992,903.55
805,1/1/1993,903.55
